GSN;date;marketCode;currencyCode;valorNumber;value;comment
10000000075;2014-01-01;2979;272;275191;1;holiday
10000040575;2014-05-07;2979;1;897789;0.82029;Währungspaar verwechselt
10000040576;2014-05-07;2979;1;897789;0.82011;Währungspaar verwechselt
10000040577;2014-05-07;2979;1;897789;1.2188;Ausreisser
10000040578;2014-05-07;2979;1;897789;0.82064;Währungspaar verwechselt
10000040579;2014-05-07;2979;1;897789;0.82043;Währungspaar verwechselt
10000040580;2014-05-07;2979;1;897789;0.820465;Währungspaar verwechselt
10000040581;2014-05-07;2979;1;897789;0.0427;Kommafehler
10000040582;2014-05-07;2979;1;897789;7606;Tick
10000040829;2014-05-07;2979;814;968880;1.2188;Ausreisser
10000040830;2014-05-07;2979;814;968880;0.0328;Kommafehler
10000040831;2014-05-07;2979;814;968880;1.2188;Ausreisser
10000040832;2014-05-07;2979;814;968880;1.2192;Kursausreisser
10000040833;2014-05-07;2979;814;968880;1.2192;Kursausreisser
10000040834;2014-05-07;2979;814;968880;1.219;Kursausreisser
10000040835;2014-05-07;2979;814;968880;36944;Tick
10000049990;2014-06-04;3215;753;208166;3.296;Spread Handelsende
10000049991;2014-06-04;3215;753;208166;3.419;Spread Handelsende
10000049992;2014-06-04;3215;753;208166;3.357;Spread Handelsende
10000049993;2014-06-04;3215;753;208166;3.357;Spread Handelsende
10000049994;2014-06-04;3215;753;208166;0.123;Spread Handelsende
10000081748;2014-09-08;2979;1;275015;0.17199;bid > ask
10000081750;2014-09-08;2979;1;275015;0.17199;bid > ask
10000093987;2014-10-14;3215;753;946868;4.116;Spread Handelsende
10000093988;2014-10-14;3215;753;946868;4.249;Spread Handelsende
10000093989;2014-10-14;3215;753;946868;4.183;Spread Handelsende
10000093990;2014-10-14;3215;753;946868;4.183;Spread Handelsende
10000093991;2014-10-14;3215;753;946868;0.133;Spread Handelsende
10000103520;2014-11-12;178;1;275000;96.7;10x
10000103521;2014-11-12;178;1;275000;96.717;10x
10000105058;2014-11-17;2979;272;275191;0.01;techn. Kurs
10000105060;2014-11-17;2979;272;275191;0.01;techn. Kurs
10000105061;2014-11-17;2979;272;275191;999.01;techn. Kurs
10000111032;2014-12-04;2979;272;275191;0.01;techn. Kurs
10000111034;2014-12-04;2979;272;275191;0.01;techn. Kurs
10000111035;2014-12-04;2979;272;275191;999.01;techn. Kurs
10000116361;2014-12-22;176;1;499048;0.07988; /10
10000116362;2014-12-22;176;1;499048;0.08003; /10
10000126179;2015-01-21;2979;272;275191;10.6918;Kursausreisser
10000126181;2015-01-21;2979;272;275191;11.6968;Kursausreisser
10000126183;2015-01-21;2979;272;275191;11.1943;Kursausreisser
10000126184;2015-01-21;2979;272;275191;11.1943;Kursausreisser
10000129772;2015-02-02;178;1;897789;1.0628;regelmässige Kursausreisser
10000132638;2015-02-10;2979;1;897789;1.0559;bid > ask
10000132642;2015-02-10;2979;1;897789;1.0526;bid > ask
10000132643;2015-02-10;2979;1;897789;1.0526;bid > ask
10000133310;2015-02-11;2979;805;698366;4711;techn. Kurs
10000134388;2015-02-16;178;1;897789;1.0641;regelmässige Kursausreisser
10000138629;2015-02-27;3215;470;340809;5.7729;Kursausreisser
10000138630;2015-02-27;3215;470;340809;5.8078;Kursausreisser
10000138631;2015-02-27;3215;470;340809;5.7903;Kursausreisser
10000138632;2015-02-27;3215;470;340809;5.7903;Kursausreisser
10000138976;2015-03-02;178;1;897789;1.0931;Kursausreisser
